country,group,group_path
AL,AL_DR,dhs_AL_DR
AM,AL_DR,dhs_AL_DR
AO,AL_DR,dhs_AL_DR
BD,AL_DR,dhs_AL_DR
BF,AL_DR,dhs_AL_DR
BJ,AL_DR,dhs_AL_DR
BU,AL_DR,dhs_AL_DR
CD,AL_DR,dhs_AL_DR
CI,AL_DR,dhs_AL_DR
CM,AL_DR,dhs_AL_DR
CO,AL_DR,dhs_AL_DR
DR,AL_DR,dhs_AL_DR
EG,EG_HT,dhs_EG_HT
ET,EG_HT,dhs_EG_HT
GA,EG_HT,dhs_EG_HT
GH,EG_HT,dhs_EG_HT
GN,EG_HT,dhs_EG_HT
GU,EG_HT,dhs_EG_HT
GY,EG_HT,dhs_EG_HT
HT,EG_HT,dhs_EG_HT
IA,IA_IA,dhs_IA_IA
KE,ID_MZ,dhs_ID_MZ
KM,ID_MZ,dhs_ID_MZ
KY,ID_MZ,dhs_ID_MZ
LB,ID_MZ,dhs_ID_MZ
LS,ID_MZ,dhs_ID_MZ
MD,ID_MZ,dhs_ID_MZ
ML,ID_MZ,dhs_ID_MZ
MM,ID_MZ,dhs_ID_MZ
MW,ID_MZ,dhs_ID_MZ
MZ,ID_MZ,dhs_ID_MZ
NG,NG_SZ,dhs_NG_SZ
NM,NG_SZ,dhs_NG_SZ
NP,NG_SZ,dhs_NG_SZ
PE,NG_SZ,dhs_NG_SZ
PH,NG_SZ,dhs_NG_SZ
PK,NG_SZ,dhs_NG_SZ
RW,NG_SZ,dhs_NG_SZ
SL,NG_SZ,dhs_NG_SZ
SN,NG_SZ,dhs_NG_SZ
SZ,NG_SZ,dhs_NG_SZ
TD,TD_ZW,dhs_TD_ZW
TG,TD_ZW,dhs_TD_ZW
TJ,TD_ZW,dhs_TD_ZW
TZ,TD_ZW,dhs_TD_ZW
UG,TD_ZW,dhs_TD_ZW
ZM,TD_ZW,dhs_TD_ZW
ZW,TD_ZW,dhs_TD_ZW
